"name","ts","hour","high"
"BYND","2020-05-14 09:39:00-04:00","09","137.97000122070312"
"BYND","2020-05-14 10:31:00-04:00","10","139.55999755859375"
"BYND","2020-05-14 11:15:00-04:00","11","141.0"
"BYND","2020-05-14 12:57:00-04:00","12","138.24000549316406"
"BYND","2020-05-14 13:00:00-04:00","13","137.78990173339844"
"BYND","2020-05-14 14:12:00-04:00","14","135.7301025390625"
"BYND","2020-05-14 15:54:00-04:00","15","135.85000610351562"
"DDOG","2020-05-14 09:32:00-04:00","09","67.25"
"DDOG","2020-05-14 10:09:00-04:00","10","66.55000305175781"
"DDOG","2020-05-14 11:20:00-04:00","11","65.0"
"DDOG","2020-05-14 12:54:00-04:00","12","64.87999725341797"
"DDOG","2020-05-14 13:02:00-04:00","13","65.0"
"DDOG","2020-05-14 14:48:00-04:00","14","64.12999725341797"
"DDOG","2020-05-14 15:54:00-04:00","15","65.86990356445312"
"FB","2020-05-14 09:37:00-04:00","09","203.8677978515625"
"FB","2020-05-14 10:53:00-04:00","10","203.35000610351562"
"FB","2020-05-14 11:37:00-04:00","11","204.27000427246094"
"FB","2020-05-14 12:56:00-04:00","12","205.10000610351562"
"FB","2020-05-14 13:32:00-04:00","13","205.63999938964844"
"FB","2020-05-14 14:29:00-04:00","14","204.98500061035156"
"FB","2020-05-14 15:59:00-04:00","15","206.92999267578125"
"NFLX","2020-05-14 09:36:00-04:00","09","452.0"
"NFLX","2020-05-14 10:08:00-04:00","10","446.510009765625"
"NFLX","2020-05-14 11:16:00-04:00","11","440.6400146484375"
"NFLX","2020-05-14 12:59:00-04:00","12","440.3399963378906"
"NFLX","2020-05-14 13:49:00-04:00","13","441.7799987792969"
"NFLX","2020-05-14 14:30:00-04:00","14","441.44000244140625"
"NFLX","2020-05-14 15:59:00-04:00","15","442.1400146484375"
"OKTA","2020-05-14 09:39:00-04:00","09","178.0"
"OKTA","2020-05-14 10:10:00-04:00","10","177.80679321289062"
"OKTA","2020-05-14 11:37:00-04:00","11","179.88999938964844"
"OKTA","2020-05-14 12:57:00-04:00","12","179.0050048828125"
"OKTA","2020-05-14 13:03:00-04:00","13","178.5"
"OKTA","2020-05-14 14:32:00-04:00","14","177.80999755859375"
"OKTA","2020-05-14 15:05:00-04:00","15","177.85000610351562"
"PINS","2020-05-14 09:32:00-04:00","09","16.540000915527344"
"PINS","2020-05-14 10:54:00-04:00","10","16.674999237060547"
"PINS","2020-05-14 11:18:00-04:00","11","16.94499969482422"
"PINS","2020-05-14 12:57:00-04:00","12","17.040000915527344"
"PINS","2020-05-14 13:26:00-04:00","13","17.030000686645508"
"PINS","2020-05-14 14:22:00-04:00","14","16.905000686645508"
"PINS","2020-05-14 15:51:00-04:00","15","17.09000015258789"
"SHOP","2020-05-14 09:31:00-04:00","09","758.0900268554688"
"SHOP","2020-05-14 10:12:00-04:00","10","752.0"
"SHOP","2020-05-14 11:16:00-04:00","11","757.469970703125"
"SHOP","2020-05-14 12:57:00-04:00","12","754.1599731445312"
"SHOP","2020-05-14 13:01:00-04:00","13","755.8200073242188"
"SHOP","2020-05-14 14:57:00-04:00","14","751.7999877929688"
"SHOP","2020-05-14 15:50:00-04:00","15","755.5700073242188"
"SNAP","2020-05-14 09:31:00-04:00","09","16.729999542236328"
"SNAP","2020-05-14 10:54:00-04:00","10","16.93000030517578"
"SNAP","2020-05-14 11:07:00-04:00","11","17.149999618530273"
"SNAP","2020-05-14 12:57:00-04:00","12","16.989999771118164"
"SNAP","2020-05-14 13:31:00-04:00","13","17.0"
"SNAP","2020-05-14 14:58:00-04:00","14","16.920000076293945"
"SNAP","2020-05-14 15:09:00-04:00","15","16.969999313354492"
"SQ","2020-05-14 09:46:00-04:00","09","72.80999755859375"
"SQ","2020-05-14 10:59:00-04:00","10","75.58999633789062"
"SQ","2020-05-14 11:09:00-04:00","11","76.48999786376953"
"SQ","2020-05-14 12:59:00-04:00","12","76.75"
"SQ","2020-05-14 13:48:00-04:00","13","77.18000030517578"
"SQ","2020-05-14 14:59:00-04:00","14","77.26000213623047"
"SQ","2020-05-14 15:57:00-04:00","15","78.25"
"TTD","2020-05-14 09:31:00-04:00","09","289.44989013671875"
"TTD","2020-05-14 10:53:00-04:00","10","290.07000732421875"
"TTD","2020-05-14 11:18:00-04:00","11","296.8562927246094"
"TTD","2020-05-14 12:57:00-04:00","12","294.5"
"TTD","2020-05-14 13:31:00-04:00","13","296.0"
"TTD","2020-05-14 14:59:00-04:00","14","295.7699890136719"
"TTD","2020-05-14 15:24:00-04:00","15","297.6700134277344"
